guard_id,age,location,deployment_type,shift_hours,late_arrivals,absenteeism,incidents_reported,incident_type,response_time_minutes,client_satisfaction_score,supervisor_rating,overtime_hours,contract_value,fuel_consumption_liters,distance_covered_km,patrol_vehicle_used,incident_rate,efficiency_score,total_cost,profit_margin,Client satisfaction %,profit margin %,Index,Date,Month Name,MonthNum,Year,efficeincy score %
G0335,44,Port Harcourt,Industrial,8,0,0,1,Unknown,32.8,83,76,14,1068026,17.75,23.7,Yes,0.12,79.5,774988.68,27.44,83%,27.44%,334,11/27/2023,November,11,2023,80%
G0348,47,Port Harcourt,Residential,8,0,0,1,Breach,28.1,83,86,6,1247176,22.52,157.3,Yes,0.12,84.5,905159.58,27.42,83%,27.42%,347,12/12/2024,December,12,2024,85%
G0350,49,Lagos,Residential,8,0,0,1,Equipment Failure,20.4,53,90,4,1161525,28.07,133.4,Yes,0.12,71.5,956959.19,17.61,53%,17.61%,349,2/14/2024,February,2,2024,72%
G0358,49,Abuja,Event,8,0,0,1,Theft,29.2,55,77,10,387745,8.21,187.8,Yes,0.12,66,266147.05,31.36,55%,31.36%,357,10/22/2024,October,10,2024,66%
G0361,24,Ibadan,Event,8,0,0,1,Theft,34.2,63,68,5,604431,26.39,43.1,Yes,0.12,65.5,425755.15,29.56,63%,29.56%,360,1/25/2023,January,1,2023,66%
G0362,53,Port Harcourt,Industrial,8,0,0,1,Equipment Failure,15.3,59,54,1,726228,25.78,29.1,Yes,0.12,56.5,625403.35,13.88,59%,13.88%,361,2/26/2024,February,2,2024,57%
G0365,38,Ibadan,Retail,8,0,0,1,Breach,16.1,78,49,0,1303231,10.44,197.4,Yes,0.12,63.5,1025275.17,21.33,78%,21.33%,364,5/1/2023,May,5,2023,64%
G0383,31,Port Harcourt,Industrial,8,0,0,1,Dispute,23.8,68,94,17,1335752,8.63,62.9,Yes,0.12,81,1239077.92,7.24,68%,7.24%,382,11/19/2023,November,11,2023,81%
G0396,45,Lagos,Event,8,0,0,1,Breach,21.6,64,55,18,1445865,14.57,140,Yes,0.12,59.5,1047327.77,27.56,64%,27.56%,395,12/4/2024,December,12,2024,60%
G0415,51,Lagos,Event,8,0,0,1,Equipment Failure,36,59,84,12,487232,6.09,187,Yes,0.12,71.5,380764.99,21.85,59%,21.85%,414,7/23/2023,July,7,2023,72%
G0422,44,Abuja,Retail,8,0,0,1,Breach,33.2,57,54,14,607558,23.7,116.1,No,0.12,55.5,555921.86,8.5,57%,8.50%,421,2/2/2024,February,2,2024,56%
G0433,31,Ibadan,Corporate,8,0,0,1,Breach,31.9,71,75,12,447892,23.71,178.7,No,0.12,73,352485.16,21.3,71%,21.30%,432,1/13/2023,January,1,2023,73%
G0444,44,Kano,Residential,8,0,0,1,Unknown,35.7,83,41,14,1431899,27.13,142.2,No,0.12,62,1145411.33,20.01,83%,20.01%,443,12/24/2024,December,12,2024,62%
G0509,35,Port Harcourt,Retail,8,0,0,1,Equipment Failure,29.7,63,95,13,548595,28.61,107.7,No,0.12,79,424190.05,22.68,63%,22.68%,508,5/5/2023,May,5,2023,79%
G0540,21,Abuja,Event,8,0,0,1,Fire,22.9,88,98,6,355046,15.58,109,Yes,0.12,93,219478.4,38.18,88%,38.18%,539,12/8/2024,December,12,2024,93%
G0549,40,Ibadan,Residential,8,0,0,1,Equipment Failure,24.5,89,58,1,925412,29.93,81.2,Yes,0.12,73.5,871908.1,5.78,89%,5.78%,548,9/17/2023,September,9,2023,74%
G0566,22,Port Harcourt,Event,8,0,0,1,Unknown,16.2,54,67,10,714927,10.55,43.9,No,0.12,60.5,633506.02,11.39,54%,11.39%,565,2/6/2024,February,2,2024,61%
G0573,33,Abuja,Residential,8,0,0,1,Fire,24.5,97,52,15,378930,27.74,65.4,Yes,0.12,74.5,352419.89,7,97%,7.00%,572,9/13/2023,September,9,2023,75%
G0595,40,Port Harcourt,Residential,8,0,0,1,Breach,27.3,89,46,19,909003,14.03,113.1,Yes,0.12,67.5,776781.81,14.55,89%,14.55%,594,7/7/2023,July,7,2023,68%
G0597,21,Ibadan,Residential,8,0,0,1,Fire,23.5,65,46,19,356680,5.76,39.2,No,0.12,55.5,229614.46,35.62,65%,35.62%,596,9/9/2023,September,9,2023,56%
G0605,53,Ibadan,Residential,8,0,0,1,Dispute,23.3,93,60,13,765705,24.76,74.4,No,0.12,76.5,502381.13,34.39,93%,34.39%,604,5/17/2023,May,5,2023,77%
G0608,34,Ibadan,Event,8,0,0,1,Equipment Failure,32.4,93,70,6,1026787,24.82,32.3,Yes,0.12,81.5,799178.76,22.17,93%,22.17%,607,8/20/2024,August,8,2024,82%
G0623,21,Abuja,Event,8,0,0,1,Theft,17,89,58,13,303599,16.7,42.5,Yes,0.12,73.5,251702.08,17.09,89%,17.09%,622,11/7/2023,November,11,2023,74%
G0635,22,Port Harcourt,Residential,8,0,0,1,Dispute,22.1,76,88,13,373820,26.24,23.7,No,0.12,82,317376.54,15.1,76%,15.10%,634,11/19/2023,November,11,2023,82%
G0642,40,Lagos,Event,8,0,0,1,Dispute,23.5,79,64,3,1352457,16.1,88.2,No,0.12,71.5,1134949.83,16.08,79%,16.08%,641,6/26/2024,June,6,2024,72%
G0655,45,Ibadan,Event,8,0,0,1,Unknown,23.1,91,41,1,1327306,28.93,63.9,No,0.12,66,1005872.99,24.22,91%,24.22%,654,7/11/2023,July,7,2023,66%
G0671,42,Port Harcourt,Event,8,0,0,1,Equipment Failure,18.5,86,60,15,389363,22.16,132.7,No,0.12,73,247756.47,36.37,86%,36.37%,670,11/27/2023,November,11,2023,73%
G0678,22,Abuja,Retail,8,0,0,1,Dispute,29.9,75,59,5,1449622,26.42,33.8,No,0.12,67,901159.69,37.83,75%,37.83%,677,6/6/2024,June,6,2024,67%
G0710,25,Port Harcourt,Corporate,8,0,0,1,Fire,25.6,74,83,2,461080,6.14,96,Yes,0.12,78.5,358385.33,22.27,74%,22.27%,709,2/10/2024,February,2,2024,79%
G0728,34,Port Harcourt,Corporate,8,0,0,1,Dispute,30.5,93,99,8,1276086,22.38,20,No,0.12,96,783605.55,38.59,93%,38.59%,727,8/28/2024,August,8,2024,96%
G0741,39,Ibadan,Industrial,8,0,0,1,Dispute,27.9,69,75,1,356614,22.12,113.2,Yes,0.12,72,217824.82,38.92,69%,38.92%,740,9/13/2023,September,9,2023,72%
G0750,22,Abuja,Retail,8,0,0,1,Unknown,35.1,87,90,6,838795,18.52,118.7,Yes,0.12,88.5,770571.67,8.13,87%,8.13%,749,6/22/2024,June,6,2024,89%
G0752,25,Abuja,Corporate,8,0,0,1,Dispute,13.6,99,43,2,1028229,22,160,Yes,0.12,71,713750.17,30.58,99%,30.58%,751,8/24/2024,August,8,2024,71%
G0782,27,Port Harcourt,Event,8,0,0,1,Fire,36.8,92,52,7,1158468,5.75,100.4,No,0.12,72,726511.43,37.29,92%,37.29%,781,2/26/2024,February,2,2024,72%
G0794,44,Lagos,Industrial,8,0,0,1,Theft,21.3,89,79,12,901305,5.6,49.5,No,0.12,84,793893.05,11.92,89%,11.92%,793,2/10/2024,February,2,2024,84%
G0795,37,Lagos,Corporate,8,0,0,1,Theft,20,82,75,5,1011182,20.26,183.2,Yes,0.12,78.5,642115.89,36.5,82%,36.50%,794,3/11/2023,March,3,2023,79%
G0797,33,Port Harcourt,Residential,8,0,0,1,Fire,13.1,93,63,19,380291,29.83,168.5,Yes,0.12,78,242870.96,36.14,93%,36.14%,796,5/13/2023,May,5,2023,78%
G0798,51,Abuja,Industrial,8,0,0,1,Breach,14.3,64,86,0,880294,21.97,38.5,No,0.12,75,723689.41,17.79,64%,17.79%,797,6/14/2024,June,6,2024,75%
G0808,25,Abuja,Industrial,8,0,0,1,Equipment Failure,32.2,80,41,16,386388,10.66,56.8,No,0.12,60.5,320646.37,17.01,80%,17.01%,807,4/24/2024,April,4,2024,61%
G0811,26,Ibadan,Event,8,0,0,1,Equipment Failure,18.9,69,93,0,1136507,10.31,41.5,Yes,0.12,81,740067.81,34.88,69%,34.88%,810,7/27/2023,July,7,2023,81%
G0812,27,Lagos,Residential,8,0,0,1,Unknown,21.3,82,60,11,1109063,10.21,39.3,No,0.12,71,1011432.47,8.8,82%,8.80%,811,8/28/2024,August,8,2024,71%
G0820,46,Abuja,Event,8,0,0,1,Fire,17,86,51,12,930381,29.31,61.1,Yes,0.12,68.5,730112.18,21.53,86%,21.53%,819,4/8/2024,April,4,2024,69%
G0824,21,Abuja,Industrial,8,0,0,1,Unknown,26,71,77,0,1105955,16.92,29.1,Yes,0.12,74,663666.16,39.99,71%,39.99%,823,8/12/2024,August,8,2024,74%
G0842,45,Lagos,Residential,8,0,0,1,Unknown,17.7,72,59,11,666731,24.31,195.4,No,0.12,65.5,528782.13,20.69,72%,20.69%,841,2/2/2024,February,2,2024,66%
G0850,42,Abuja,Industrial,8,0,0,1,Theft,45,69,81,16,756395,13.75,76.9,Yes,0.12,75,561329.79,25.79,69%,25.79%,849,10/10/2024,October,10,2024,75%
G0873,42,Kano,Event,8,0,0,1,Unknown,15.2,99,68,9,314425,8.86,183.2,No,0.12,83.5,245383.47,21.96,99%,21.96%,872,9/5/2023,September,9,2023,84%
G0874,20,Abuja,Industrial,8,0,0,1,Fire,36.4,66,74,0,1099543,13.35,105.3,Yes,0.12,70,711057.5,35.33,66%,35.33%,873,10/6/2024,October,10,2024,70%
G0884,30,Port Harcourt,Retail,8,0,0,1,Fire,27.7,94,87,19,1432934,26.97,60,No,0.12,90.5,1240386.42,13.44,94%,13.44%,883,8/16/2024,August,8,2024,91%
G0887,37,Ibadan,Event,8,0,0,1,Breach,22.1,62,58,5,971915,5.89,77.1,No,0.12,60,634678.91,34.7,62%,34.70%,886,11/19/2023,November,11,2023,60%
G0888,46,Port Harcourt,Industrial,8,0,0,1,Unknown,31.5,81,75,10,874065,25.11,163.6,Yes,0.12,78,603359.68,30.97,81%,30.97%,887,12/20/2024,December,12,2024,78%
G0896,43,Kano,Retail,8,0,0,1,Dispute,28.7,55,44,6,929443,8.91,107,Yes,0.12,49.5,749727.11,19.34,55%,19.34%,895,8/28/2024,August,8,2024,50%
G0904,36,Abuja,Retail,8,0,0,1,Fire,16.8,82,58,17,1391213,25.08,25.8,Yes,0.12,70,1209472.81,13.06,82%,13.06%,903,4/8/2024,April,4,2024,70%
G0912,32,Ibadan,Corporate,8,0,0,1,Dispute,18.5,95,41,16,761833,28.66,154.1,No,0.12,68,560265.64,26.46,95%,26.46%,911,12/16/2024,December,12,2024,68%
G0917,49,Kano,Residential,8,0,0,1,Dispute,28.2,79,59,1,1430127,5.03,182.5,Yes,0.12,69,864874.39,39.52,79%,39.52%,916,5/21/2023,May,5,2023,69%
G0932,48,Ibadan,Residential,8,0,0,1,Dispute,23.5,87,66,17,1477209,17.96,118.8,Yes,0.12,76.5,1392460.98,5.74,87%,5.74%,931,8/8/2024,August,8,2024,77%
G0953,47,Ibadan,Residential,8,0,0,1,Fire,18,79,61,1,1472058,21.47,68.2,No,0.12,70,1386849.39,5.79,79%,5.79%,952,5/1/2023,May,5,2023,70%
G0965,50,Abuja,Residential,8,0,0,1,Dispute,14.7,79,42,5,1095005,17.29,102.4,No,0.12,60.5,858014.4,21.64,79%,21.64%,964,5/13/2023,May,5,2023,61%
G0968,29,Kano,Corporate,8,0,0,1,Theft,28.4,75,60,18,627985,21.95,188.7,No,0.12,67.5,514961.05,18,75%,18.00%,967,8/16/2024,August,8,2024,68%
G0973,38,Abuja,Corporate,8,0,0,1,Dispute,18.7,92,99,0,1356509,7.51,175.5,Yes,0.12,95.5,1279639.88,5.67,92%,5.67%,972,1/21/2023,January,1,2023,96%
G0980,39,Kano,Retail,8,0,0,1,Dispute,25,81,79,15,1308358,13.89,171.5,Yes,0.12,80,932014.98,28.76,81%,28.76%,979,8/28/2024,August,8,2024,80%
G0993,43,Abuja,Retail,8,0,0,1,Breach,20.3,88,69,18,674994,21.85,74.3,No,0.12,78.5,613430.73,9.12,88%,9.12%,992,9/13/2023,September,9,2023,79%
G0031,23,Port Harcourt,Corporate,10,0,0,1,Theft,30.6,65,93,18,355916,8.68,51,Yes,0.1,79,257507.81,27.65,65%,27.65%,30,7/3/2023,July,7,2023,79%
G0034,28,Abuja,Event,10,0,0,1,Theft,35.7,64,71,16,1090243,20.84,197.3,Yes,0.1,67.5,955661.26,12.34,64%,12.34%,33,10/6/2024,October,10,2024,68%
G0054,50,Kano,Event,10,0,0,1,Unknown,23.7,76,43,17,1406698,21.13,99,Yes,0.1,59.5,959533.74,31.79,76%,31.79%,53,6/26/2024,June,6,2024,60%
G0056,27,Lagos,Retail,10,0,0,1,Breach,11,65,95,16,1054849,12.39,178.9,No,0.1,80,892839.33,15.36,65%,15.36%,55,8/28/2024,August,8,2024,80%
G0065,48,Ibadan,Residential,10,0,0,1,Breach,24.8,89,55,6,383805,25.96,97.8,No,0.1,72,243569.01,36.54,89%,36.54%,64,5/9/2023,May,5,2023,72%
G0082,47,Abuja,Retail,12,0,0,1,Breach,22.9,76,42,3,1351628,22.22,34.4,Yes,0.08,59,1119364.11,17.18,76%,17.18%,81,10/26/2024,October,10,2024,59%
G0097,33,Ibadan,Industrial,12,0,0,1,Breach,33.2,50,69,3,327597,15.95,32.8,No,0.08,59.5,230414.92,29.67,50%,29.67%,96,1/13/2023,January,1,2023,60%
G0110,51,Abuja,Event,10,0,0,1,Breach,27.9,65,95,2,1080768,5.93,158.8,No,0.1,80,735398.52,31.96,65%,31.96%,109,2/26/2024,February,2,2024,80%
G0131,20,Kano,Industrial,10,0,0,1,Fire,30,69,66,0,746049,12.84,152.1,Yes,0.1,67.5,585991.8,21.45,69%,21.45%,130,11/19/2023,November,11,2023,68%
G0173,28,Ibadan,Event,10,0,0,1,Equipment Failure,46.6,73,57,15,1244699,16.16,136.5,Yes,0.1,65,867397.16,30.31,73%,30.31%,172,5/5/2023,May,5,2023,65%
G0189,30,Lagos,Residential,10,0,0,1,Fire,20.2,94,92,5,987859,27.52,67.7,Yes,0.1,93,858630.04,13.08,94%,13.08%,188,9/21/2023,September,9,2023,93%
G0214,27,Abuja,Industrial,10,0,0,1,Equipment Failure,20.5,90,93,15,1345218,11.98,158.5,Yes,0.1,91.5,958685.71,28.73,90%,28.73%,213,10/18/2024,October,10,2024,92%
G0246,49,Lagos,Corporate,12,0,0,1,Breach,36.1,54,54,12,915973,29.13,66.8,Yes,0.08,54,679208.2,25.85,54%,25.85%,245,6/22/2024,June,6,2024,54%
G0253,54,Lagos,Retail,10,0,0,1,Equipment Failure,6.9,87,42,16,1083849,17.85,136.8,No,0.1,64.5,662579.49,38.87,87%,38.87%,252,1/1/2023,January,1,2023,65%
G0255,47,Abuja,Corporate,12,0,0,1,Breach,23.2,73,92,19,1035101,13.88,188,No,0.08,82.5,821873.63,20.6,73%,20.60%,254,3/3/2023,March,3,2023,83%
G0264,52,Lagos,Event,10,0,0,1,Equipment Failure,33.7,50,44,2,1125613,14.92,78.5,No,0.1,47,756765.64,32.77,50%,32.77%,263,12/12/2024,December,12,2024,47%
G0275,51,Abuja,Corporate,10,0,0,1,Breach,29,74,63,6,740691,14.2,183.9,No,0.1,68.5,626202.8,15.46,74%,15.46%,274,11/23/2023,November,11,2023,69%
G0289,43,Kano,Industrial,10,0,0,1,Unknown,11,87,75,2,1459935,23.59,19.4,Yes,0.1,81,1010193.51,30.81,87%,30.81%,288,1/9/2023,January,1,2023,81%
G0295,35,Abuja,Event,12,0,0,1,Unknown,17.3,95,50,15,717896,12.54,88.9,No,0.08,72.5,653513.6,8.97,95%,8.97%,294,7/15/2023,July,7,2023,73%
G0315,25,Ibadan,Retail,12,0,0,1,Dispute,26.1,94,50,15,473412,7.77,136.7,Yes,0.08,72,418931.37,11.51,94%,11.51%,314,3/7/2023,March,3,2023,72%
G0323,36,Kano,Retail,12,0,0,1,Unknown,21.4,64,52,11,1211604,14.16,69.1,Yes,0.08,58,848069.11,30,64%,30.00%,322,11/15/2023,November,11,2023,58%
G0324,38,Kano,Industrial,10,0,0,1,Unknown,41.4,60,61,0,1449645,5.92,105.7,Yes,0.1,60.5,1201388.62,17.13,60%,17.13%,323,12/16/2024,December,12,2024,61%
G0347,33,Abuja,Residential,10,0,0,1,Breach,40.9,83,68,19,899493,8.78,100,Yes,0.1,75.5,730481.44,18.79,83%,18.79%,346,11/11/2023,November,11,2023,76%
G0356,40,Abuja,Retail,10,0,0,1,Dispute,27.5,84,64,12,1134363,20.9,110.8,No,0.1,74,1032016.86,9.02,84%,9.02%,355,8/20/2024,August,8,2024,74%
G0392,21,Lagos,Corporate,10,0,0,1,Breach,12.9,62,56,3,919113,17.62,61.8,No,0.1,59,697534.8,24.11,62%,24.11%,391,8/28/2024,August,8,2024,59%
G0399,45,Ibadan,Corporate,12,0,0,1,Fire,13.6,77,77,2,357788,12.15,172.5,Yes,0.08,77,299160.25,16.39,77%,16.39%,398,3/7/2023,March,3,2023,77%
G0402,53,Abuja,Residential,10,0,0,1,Unknown,11.4,71,96,19,1209251,17.52,19.1,No,0.1,83.5,1095044.48,9.44,71%,9.44%,401,6/10/2024,June,6,2024,84%
G0426,39,Ibadan,Industrial,10,0,0,1,Theft,30.8,66,45,3,1315807,9.31,147,Yes,0.1,55.5,848683.78,35.5,66%,35.50%,425,6/6/2024,June,6,2024,56%
G0473,44,Port Harcourt,Residential,10,0,0,1,Unknown,29.3,73,41,4,410675,6.5,13.9,Yes,0.1,57,303746.82,26.04,73%,26.04%,472,5/25/2023,May,5,2023,57%
G0482,22,Kano,Event,12,0,0,1,Dispute,18.3,58,90,4,541472,15.18,116.3,No,0.08,74,430721.75,20.45,58%,20.45%,481,2/6/2024,February,2,2024,74%
G0483,32,Kano,Residential,10,0,0,1,Equipment Failure,29.4,56,46,6,606297,22.47,140.1,Yes,0.1,51,416872.58,31.24,56%,31.24%,482,3/7/2023,March,3,2023,51%
G0515,35,Abuja,Corporate,12,0,0,1,Dispute,40.1,87,42,17,1140271,16.19,62.6,Yes,0.08,64.5,796764.07,30.13,87%,30.13%,514,11/11/2023,November,11,2023,65%
G0519,47,Ibadan,Corporate,12,0,0,1,Equipment Failure,30.8,88,66,18,1478152,28.9,40.7,Yes,0.08,77,1253158.85,15.22,88%,15.22%,518,3/15/2023,March,3,2023,77%
G0527,36,Abuja,Retail,12,0,0,1,Dispute,15,92,90,15,1459695,6.06,149.2,No,0.08,91,930663.42,36.24,92%,36.24%,526,11/23/2023,November,11,2023,91%
G0532,47,Abuja,Event,10,0,0,1,Unknown,23.8,62,94,13,939411,29.38,129.3,No,0.1,78,647700.13,31.05,62%,31.05%,531,4/28/2024,April,4,2024,78%
G0538,24,Lagos,Industrial,10,0,0,1,Fire,14.4,70,48,9,1305252,21.49,91.7,Yes,0.1,59,1207777.93,7.47,70%,7.47%,537,10/6/2024,October,10,2024,59%
G0539,44,Ibadan,Event,12,0,0,1,Dispute,27.7,80,99,7,327215,10.71,141.3,No,0.08,89.5,282979.28,13.52,80%,13.52%,538,11/7/2023,November,11,2023,90%
G0543,24,Kano,Event,12,0,0,1,Theft,37.7,55,47,1,727310,23.32,124.1,No,0.08,51,689338.03,5.22,55%,5.22%,542,3/11/2023,March,3,2023,51%
G0550,45,Kano,Residential,10,0,0,1,Unknown,19,63,64,12,1298512,24.5,56.4,No,0.1,63.5,1049456.65,19.18,63%,19.18%,549,10/18/2024,October,10,2024,64%
G0555,52,Port Harcourt,Retail,12,0,0,1,Unknown,33.7,94,99,0,955295,19.45,40.1,Yes,0.08,96.5,703234.76,26.39,94%,26.39%,554,3/23/2023,March,3,2023,97%
G0557,54,Port Harcourt,Retail,10,0,0,1,Theft,19.6,68,58,12,1044976,9.01,180.3,Yes,0.1,63,737432.95,29.43,68%,29.43%,556,5/25/2023,May,5,2023,63%
G0575,20,Abuja,Residential,10,0,0,1,Unknown,32.9,69,47,19,876453,25.15,199.8,Yes,0.1,58,543973.77,37.93,69%,37.93%,574,11/15/2023,November,11,2023,58%
G0594,34,Port Harcourt,Event,12,0,0,1,Breach,19.9,90,65,15,704311,18.17,159.4,Yes,0.08,77.5,428878.45,39.11,90%,39.11%,593,6/6/2024,June,6,2024,78%
G0619,43,Kano,Retail,12,0,0,1,Theft,21.9,71,43,14,588683,22.54,167.4,No,0.08,57,362346.44,38.45,71%,38.45%,618,7/3/2023,July,7,2023,57%
G0621,53,Lagos,Industrial,12,0,0,1,Dispute,36.1,97,62,13,533670,16.36,21.7,Yes,0.08,79.5,426515.03,20.08,97%,20.08%,620,9/5/2023,September,9,2023,80%
G0637,22,Port Harcourt,Residential,10,0,0,1,Breach,24.3,67,75,0,851764,28.97,25.2,Yes,0.1,71,647019.95,24.04,67%,24.04%,636,1/21/2023,January,1,2023,71%
G0661,36,Port Harcourt,Corporate,10,0,0,1,Theft,17.6,98,46,14,903347,26.41,119.1,Yes,0.1,72,726083.5,19.62,98%,19.62%,660,1/17/2023,January,1,2023,72%
G0674,21,Ibadan,Retail,12,0,0,1,Equipment Failure,25.2,95,60,14,706201,7.56,57.2,No,0.08,77.5,578468.34,18.09,95%,18.09%,673,2/2/2024,February,2,2024,78%
G0680,37,Port Harcourt,Event,10,0,0,1,Fire,30.7,95,44,6,697046,17.95,117.3,No,0.1,69.5,424092.19,39.16,95%,39.16%,679,8/8/2024,August,8,2024,70%
G0692,39,Lagos,Industrial,10,0,0,1,Dispute,30,62,61,7,663284,9.7,161.4,Yes,0.1,61.5,618232.99,6.79,62%,6.79%,691,8/20/2024,August,8,2024,62%
G0722,25,Lagos,Industrial,12,0,0,1,Dispute,12.6,53,61,14,1380142,26.83,174.9,No,0.08,57,991407.47,28.17,53%,28.17%,721,2/22/2024,February,2,2024,57%
G0730,49,Port Harcourt,Retail,12,0,0,1,Equipment Failure,39.3,58,64,12,877907,21.59,185,Yes,0.08,61,557344.55,36.51,58%,36.51%,729,10/2/2024,October,10,2024,61%
G0731,21,Port Harcourt,Retail,10,0,0,1,Equipment Failure,23,90,70,5,720091,8.78,42.6,No,0.1,80,532048.47,26.11,90%,26.11%,730,11/3/2023,November,11,2023,80%
